Assay	BiosampleID	FileFormat	OutputType	FileName	LibraryID
CAGE	10558-107I9	bam	alignments	osteosarcoma%20cell%20line%3aHS-Os-1.CNhs11290.10558-107I9	CNhs11290
CAGE	10560-108A2	bam	alignments	gastric%20cancer%20cell%20line%3aGSS.CNhs14241.10560-108A2	CNhs14241
CAGE	10562-108A4	bam	alignments	small%20cell%20lung%20carcinoma%20cell%20line%3aWA-hT.CNhs11812.10562-108A4	CNhs11812
CAGE	10563-108A5	bam	alignments	xeroderma%20pigentosum%20b%20cell%20line%3aXPL%2017.CNhs11813.10563-108A5	CNhs11813
CAGE	10568-108B1	bam	alignments	mesenchymal%20stem%20cell%20line%3aHu5%2fE18.CNhs11718.10568-108B1	CNhs11718
CAGE	10569-108B2	bam	alignments	leiomyoma%20cell%20line%3a10964C.CNhs11722.10569-108B2	CNhs11722
CAGE	10570-108B3	bam	alignments	leiomyoma%20cell%20line%3a15242A.CNhs11723.10570-108B3	CNhs11723
CAGE	10571-108B4	bam	alignments	leiomyoma%20cell%20line%3a15425.CNhs11724.10571-108B4	CNhs11724
CAGE	10589-108D4	bam	alignments	argyrophil%20small%20cell%20carcinoma%20cell%20line%3aTC-YIK.CNhs11725.10589-108D4	CNhs11725
CAGE	10590-108D5	bam	alignments	testicular%20germ%20cell%20embryonal%20carcinoma%20cell%20line%3aNEC8.CNhs11726.10590-108D5	CNhs11726
CAGE	10591-108D6	bam	alignments	testicular%20germ%20cell%20embryonal%20carcinoma%20cell%20line%3aNEC14.CNhs12351.10591-108D6	CNhs12351
CAGE	10593-108D8	bam	alignments	testicular%20germ%20cell%20embryonal%20carcinoma%20cell%20line%3aNEC15.CNhs12362.10593-108D8	CNhs12362
CAGE	10597-108E3	bam	alignments	Wilms%27%20tumor%20cell%20line%3aHFWT.CNhs11728.10597-108E3	CNhs11728
CAGE	10600-108E6	bam	alignments	myxofibrosarcoma%20cell%20line%3aMFH-ino.CNhs11729.10600-108E6	CNhs11729
CAGE	10603-108E9	bam	alignments	embryonic%20pancreas%20cell%20line%3a2C6.CNhs11814.10603-108E9	CNhs11814
CAGE	10604-108F1	bam	alignments	embryonic%20pancreas%20cell%20line%3a1B2C6.CNhs11731.10604-108F1	CNhs11731
CAGE	10605-108F2	bam	alignments	embryonic%20pancreas%20cell%20line%3a1C3D3.CNhs11732.10605-108F2	CNhs11732
CAGE	10606-108F3	bam	alignments	embryonic%20pancreas%20cell%20line%3a1C3IKEI.CNhs11733.10606-108F3	CNhs11733
CAGE	10607-108F4	bam	alignments	neuroblastoma%20cell%20line%3aNBsusSR.CNhs11818.10607-108F4	CNhs11818
CAGE	10609-108F6	bam	alignments	small-cell%20gastrointestinal%20carcinoma%20cell%20line%3aECC4.CNhs11734.10609-108F6	CNhs11734
CAGE	10610-108F7	bam	alignments	small%20cell%20gastrointestinal%20carcinoma%20cell%20line%3aECC10.CNhs11736.10610-108F7	CNhs11736
CAGE	10612-108F9	bam	alignments	gastric%20adenocarcinoma%20cell%20line%3aMKN45.CNhs11819.10612-108F9	CNhs11819
CAGE	10614-108G2	bam	alignments	gastric%20adenocarcinoma%20cell%20line%3aMKN1.CNhs11737.10614-108G2	CNhs11737
CAGE	10615-108G3	bam	alignments	gastrointestinal%20carcinoma%20cell%20line%3aECC12.CNhs11738.10615-108G3	CNhs11738
CAGE	10616-108G4	bam	alignments	squamous%20cell%20carcinoma%20cell%20line%3aT3M-5.CNhs11739.10616-108G4	CNhs11739
CAGE	10618-108G6	bam	alignments	choriocarcinoma%20cell%20line%3aT3M-3.CNhs11820.10618-108G6	CNhs11820
CAGE	10624-108H3	bam	alignments	granulosa%20cell%20tumor%20cell%20line%3aKGN.CNhs11740.10624-108H3	CNhs11740
CAGE	10631-108I1	bam	alignments	diffuse%20large%20B-cell%20lymphoma%20cell%20line%3aCTB-1.CNhs11741.10631-108I1	CNhs11741
CAGE	10633-108I3	bam	alignments	hepatoblastoma%20cell%20line%3aHuH-6.CNhs11742.10633-108I3	CNhs11742
CAGE	10636-108I6	bam	alignments	clear%20cell%20carcinoma%20cell%20line%3aTEN.CNhs11930.10636-108I6	CNhs11930
CAGE	10637-108I7	bam	alignments	neuroectodermal%20tumor%20cell%20line%3aFU-RPNT-1.CNhs11744.10637-108I7	CNhs11744
CAGE	10638-108I8	bam	alignments	clear%20cell%20carcinoma%20cell%20line%3aJHOC-5.CNhs11745.10638-108I8	CNhs11745
CAGE	10639-108I9	bam	alignments	serous%20adenocarcinoma%20cell%20line%3aJHOS-2.CNhs11746.10639-108I9	CNhs11746
CAGE	10642-109A3	bam	alignments	carcinosarcoma%20cell%20line%3aJHUCS-1.CNhs11747.10642-109A3	CNhs11747
CAGE	10643-109A4	bam	alignments	endometrioid%20adenocarcinoma%20cell%20line%3aJHUEM-1.CNhs11748.10643-109A4	CNhs11748
CAGE	10646-109A7	bam	alignments	squamous%20cell%20carcinoma%20cell%20line%3aJHUS-nk1.CNhs11749.10646-109A7	CNhs11749
CAGE	10647-109A8	bam	alignments	lens%20epithelial%20cell%20line%3aSRA%2001%2f04.CNhs11750.10647-109A8	CNhs11750
CAGE	10648-109A9	bam	alignments	mucinous%20adenocarcinoma%20cell%20line%3aJHOM-1.CNhs11752.10648-109A9	CNhs11752
CAGE	10663-109C6	bam	alignments	neuroectodermal%20tumor%20cell%20line%3aFU-RPNT-2.CNhs11753.10663-109C6	CNhs11753
CAGE	10684-109E9	bam	alignments	myxofibrosarcoma%20cell%20line%3aNMFH-1.CNhs11821.10684-109E9	CNhs11821
CAGE	10686-109F2	bam	alignments	bone%20marrow%20stromal%20cell%20line%3aStromaNKtert.CNhs11931.10686-109F2	CNhs11931
CAGE	10687-109F3	bam	alignments	Krukenberg%20tumor%20cell%20line%3aHSKTC.CNhs11822.10687-109F3	CNhs11822
CAGE	10688-109F4	bam	alignments	glassy%20cell%20carcinoma%20cell%20line%3aHOKUG.CNhs11824.10688-109F4	CNhs11824
CAGE	10689-109F5	bam	alignments	mixed%20mullerian%20tumor%20cell%20line%3aHTMMT.CNhs11944.10689-109F5	CNhs11944
CAGE	10691-109F7	bam	alignments	meningioma%20cell%20line%3aHKBMM.CNhs11945.10691-109F7	CNhs11945
CAGE	10692-109F8	bam	alignments	large%20cell%20non-keratinizing%20squamous%20carcinoma%20cell%20line%3aSKG-II-SF.CNhs11825.10692-109F8	CNhs11825
CAGE	10693-109F9	bam	alignments	serous%20cystadenocarcinoma%20cell%20line%3aHTOA.CNhs11827.10693-109F9	CNhs11827
CAGE	10694-109G1	bam	alignments	tridermal%20teratoma%20cell%20line%3aHGRT.CNhs11828.10694-109G1	CNhs11828
CAGE	10695-109G2	bam	alignments	sacrococcigeal%20teratoma%20cell%20line%3aHTST.CNhs11829.10695-109G2	CNhs11829
CAGE	10697-109G4	bam	alignments	peripheral%20neuroectodermal%20tumor%20cell%20line%3aKU-SN.CNhs11830.10697-109G4	CNhs11830
CAGE	10698-109G5	bam	alignments	pancreatic%20carcinoma%20cell%20line%3aNOR-P1.CNhs11832.10698-109G5	CNhs11832
CAGE	10699-109G6	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M7%29%20cell%20line%3aM-MOK.CNhs13049.10699-109G6	CNhs13049
CAGE	10700-109G7	bam	alignments	chondrosarcoma%20cell%20line%3aSW%201353.CNhs11833.10700-109G7	CNhs11833
CAGE	10702-109G9	bam	alignments	basal%20cell%20carcinoma%20cell%20line%3aTE%20354%2eT.CNhs11932.10702-109G9	CNhs11932
CAGE	10703-109H1	bam	alignments	carcinoid%20cell%20line%3aNCI-H1770.CNhs11834.10703-109H1	CNhs11834
CAGE	10704-109H2	bam	alignments	osteoclastoma%20cell%20line%3aHs%20706%2eT.CNhs11835.10704-109H2	CNhs11835
CAGE	10705-109H3	bam	alignments	Ewing%27s%20sarcoma%20cell%20line%3aHs%20863%2eT.CNhs11836.10705-109H3	CNhs11836
CAGE	10706-109H4	bam	alignments	pleomorphic%20hepatocellular%20carcinoma%20cell%20line%3aSNU-387.CNhs11933.10706-109H4	CNhs11933
CAGE	10707-109H5	bam	alignments	transitional%20cell%20carcinoma%20cell%20line%3aHs%20769%2eT.CNhs11837.10707-109H5	CNhs11837
CAGE	10708-109H6	bam	alignments	alveolar%20cell%20carcinoma%20cell%20line%3aSW%201573.CNhs11838.10708-109H6	CNhs11838
CAGE	10709-109H7	bam	alignments	bronchioalveolar%20carcinoma%20cell%20line%3aNCI-H358.CNhs11840.10709-109H7	CNhs11840
CAGE	10710-109H8	bam	alignments	bronchogenic%20carcinoma%20cell%20line%3aChaGo-K-1.CNhs11841.10710-109H8	CNhs11841
CAGE	10711-109H9	bam	alignments	fibrous%20histiocytoma%20cell%20line%3aGCT%20TIB-223.CNhs11842.10711-109H9	CNhs11842
CAGE	10712-109I1	bam	alignments	hairy%20cell%20leukemia%20cell%20line%3aMo.CNhs11843.10712-109I1	CNhs11843
CAGE	10715-109I4	bam	alignments	bronchioalveolar%20carcinoma%20cell%20line%3aNCI-H650.CNhs14138.10715-109I4	CNhs14138
CAGE	10717-109I6	bam	alignments	acantholytic%20squamous%20carcinoma%20cell%20line%3aHCC1806.CNhs11844.10717-109I6	CNhs11844
CAGE	10718-109I7	bam	alignments	biphenotypic%20B%20myelomonocytic%20leukemia%20cell%20line%3aMV-4-11.CNhs11845.10718-109I7	CNhs11845
CAGE	10719-109I8	bam	alignments	carcinoid%20cell%20line%3aSK-PN-DW.CNhs11846.10719-109I8	CNhs11846
CAGE	10721-110A1	bam	alignments	leiomyoblastoma%20cell%20line%3aG-402.CNhs11848.10721-110A1	CNhs11848
CAGE	10723-110A3	bam	alignments	pharyngeal%20carcinoma%20cell%20line%3aDetroit%20562.CNhs11849.10723-110A3	CNhs11849
CAGE	10726-110A6	bam	alignments	liposarcoma%20cell%20line%3aSW%20872.CNhs11851.10726-110A6	CNhs11851
CAGE	10727-110A7	bam	alignments	lymphangiectasia%20cell%20line%3aDS-1.CNhs11852.10727-110A7	CNhs11852
CAGE	10728-110A8	bam	alignments	neuroepithelioma%20cell%20line%3aSK-N-MC.CNhs11853.10728-110A8	CNhs11853
CAGE	10729-110A9	bam	alignments	neurofibroma%20cell%20line%3aHs%2053%2eT.CNhs11854.10729-110A9	CNhs11854
CAGE	10732-110B3	bam	alignments	pagetoid%20sarcoma%20cell%20line%3aHs%20925%2eT.CNhs11856.10732-110B3	CNhs11856
CAGE	10735-110B6	bam	alignments	carcinoid%20cell%20line%3aNCI-H727.CNhs14244.10735-110B6	CNhs14244
CAGE	10737-110B8	bam	alignments	spindle%20cell%20sarcoma%20cell%20line%3aHs%20132%2eT.CNhs11857.10737-110B8	CNhs11857
CAGE	10742-110C4	bam	alignments	lung%20adenocarcinoma%2c%20papillary%20cell%20line%3aNCI-H441.CNhs14245.10742-110C4	CNhs14245
CAGE	10744-110C6	bam	alignments	mycosis%20fungoides%2c%20T%20cell%20lymphoma%20cell%20line%3aHuT%20102%20TIB-162.CNhs11858.10744-110C6	CNhs11858
CAGE	10752-110D5	bam	alignments	leukemia%2c%20chronic%20megakaryoblastic%20cell%20line%3aMEG-01.CNhs11859.10752-110D5	CNhs11859
CAGE	10758-110E2	bam	alignments	fibrosarcoma%20cell%20line%3aHT-1080.CNhs11860.10758-110E2	CNhs11860
CAGE	10759-110E3	bam	alignments	medulloblastoma%20cell%20line%3aONS-76.CNhs11861.10759-110E3	CNhs11861
CAGE	10760-110E4	bam	alignments	bronchial%20squamous%20cell%20carcinoma%20cell%20line%3aKNS-62.CNhs11862.10760-110E4	CNhs11862
CAGE	10764-110E8	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aNOMO-1.CNhs13050.10764-110E8	CNhs13050
CAGE	10765-110E9	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M2%29%20cell%20line%3aNKM-1.CNhs11864.10765-110E9	CNhs11864
CAGE	10766-110F1	bam	alignments	chronic%20myelogenous%20leukemia%20%28CML%29%20cell%20line%3aMEG-A2.CNhs11865.10766-110F1	CNhs11865
CAGE	10770-110F5	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M5%29%20cell%20line%3aP31%2fFUJ.CNhs13051.10770-110F5	CNhs13051
CAGE	10772-110F7	bam	alignments	myelodysplastic%20syndrome%20cell%20line%3aSKM-1.CNhs11934.10772-110F7	CNhs11934
CAGE	10774-110F9	bam	alignments	neuroectodermal%20tumor%20cell%20line%3aTASK1.CNhs11866.10774-110F9	CNhs11866
CAGE	10775-110G1	bam	alignments	lymphoma%2c%20malignant%2c%20hairy%20B-cell%20cell%20line%3aMLMA.CNhs11935.10775-110G1	CNhs11935
CAGE	10776-110G2	bam	alignments	thyroid%20carcinoma%20cell%20line%3aKHM-5M.CNhs14140.10776-110G2	CNhs14140
CAGE	10777-110G3	bam	alignments	NK%20T%20cell%20leukemia%20cell%20line%3aKHYG-1.CNhs11867.10777-110G3	CNhs11867
CAGE	10778-110G4	bam	alignments	hepatic%20mesenchymal%20tumor%20cell%20line%3aLI90.CNhs11868.10778-110G4	CNhs11868
CAGE	10781-110G7	bam	alignments	somatostatinoma%20cell%20line%3aQGP-1.CNhs11869.10781-110G7	CNhs11869
CAGE	10782-110G8	bam	alignments	liposarcoma%20cell%20line%3aKMLS-1.CNhs11870.10782-110G8	CNhs11870
CAGE	10783-110G9	bam	alignments	thyroid%20carcinoma%20cell%20line%3aTCO-1.CNhs11872.10783-110G9	CNhs11872
CAGE	10784-110H1	bam	alignments	mucinous%20cystadenocarcinoma%20cell%20line%3aMCAS.CNhs11873.10784-110H1	CNhs11873
CAGE	10785-110H2	bam	alignments	choriocarcinoma%20cell%20line%3aSCH.CNhs11875.10785-110H2	CNhs11875
CAGE	10786-110H3	bam	alignments	testicular%20germ%20cell%20embryonal%20carcinoma%20cell%20line%3aITO-II.CNhs11876.10786-110H3	CNhs11876
CAGE	10787-110H4	bam	alignments	rhabdomyosarcoma%20cell%20line%3aKYM-1.CNhs11877.10787-110H4	CNhs11877
CAGE	10788-110H5	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M2%29%20cell%20line%3aKasumi-1.CNhs13502.10788-110H5	CNhs13502
CAGE	10790-110H7	bam	alignments	teratocarcinoma%20cell%20line%3aNCC-IT-A3.CNhs11878.10790-110H7	CNhs11878
CAGE	10791-110H8	bam	alignments	keratoacanthoma%20cell%20line%3aHKA-1.CNhs11880.10791-110H8	CNhs11880
CAGE	10792-110H9	bam	alignments	acute%20myeloid%20leukemia%20%28FAB%20M2%29%20cell%20line%3aKasumi-6.CNhs13052.10792-110H9	CNhs13052
CAGE	10795-110I3	bam	alignments	anaplastic%20large%20cell%20lymphoma%20cell%20line%3aKi-JK.CNhs11881.10795-110I3	CNhs11881
CAGE	10796-110I4	bam	alignments	adenocarcinoma%20cell%20line%3aIM95m.CNhs11882.10796-110I4	CNhs11882
CAGE	10797-110I5	bam	alignments	tubular%20adenocarcinoma%20cell%20line%3aSUIT-2.CNhs11883.10797-110I5	CNhs11883
