c	BiosampleID	BiosampleName	AggregatedBiosampleName	AggregatedBiosampleID	BiosampleType	Age	AgeUnit	Lifestage	Sex
Blood & T-cell	11388-118C2	Peripheral Blood Mononuclear Cells, donor3	Peripheral Blood Mononuclear Cells	State_020	primary cell	46	year	adult	male
Blood & T-cell	12179-129A1	Whole blood (ribopure), donor090309, donation1	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	unknown
Blood & T-cell	12180-129A2	Whole blood (ribopure), donor090309, donation2	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	unknown
Blood & T-cell	12181-129A3	Whole blood (ribopure), donor090309, donation3	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	unknown
Blood & T-cell	12176-128I7	Whole blood (ribopure), donor090325, donation1	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	male
Blood & T-cell	12177-128I8	Whole blood (ribopure), donor090325, donation2	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	male
Blood & T-cell	12182-129A4	Whole blood (ribopure), donor090612, donation1	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	unknown
Blood & T-cell	12183-129A5	Whole blood (ribopure), donor090612, donation2	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	unknown
Blood & T-cell	12184-129A6	Whole blood (ribopure), donor090612, donation3	Whole blood (ribopure)	State_021	primary cell	unknown		unknown	unknown
Blood & T-cell	10053-101G8	blood, adult, pool1	blood, adult	State_022	tissue	18-47 	year	adult	mixed
Bone	11261-116G1	Chondrocyte - de diff, donor1	Chondrocyte - de diff	State_023	primary cell	57	year	adult	male
Bone	11338-117F6	Chondrocyte - de diff, donor2	Chondrocyte - de diff	State_023	primary cell	60		adult	male
Bone	11410-118E6	Chondrocyte - de diff, donor3	Chondrocyte - de diff	State_023	primary cell	56	year	adult	male
Bone	11339-117F7	Chondrocyte - re diff, donor2	Chondrocyte - re diff	State_024	primary cell	60		adult	male
Bone	11411-118E7	Chondrocyte - re diff, donor3	Chondrocyte - re diff	State_024	primary cell	57	year	adult	male
Bone	11276-116H7	Osteoblast - differentiated, donor1	Osteoblast - differentiated	State_025	primary cell	22	week	embryonic	female
Bone	11353-117H3	Osteoblast - differentiated, donor2	Osteoblast - differentiated	State_025	primary cell	22	week	embryonic	male
Bone	11425-118G3	Osteoblast - differentiated, donor3	Osteoblast - differentiated	State_025	primary cell	18	week	embryonic	male
Bone	11277-116H8	Osteoblast, donor1	Osteoblast	State_026	primary cell	18	week	embryonic	male
Bone	11354-117H4	Osteoblast, donor2	Osteoblast	State_026	primary cell	22	week	embryonic	male
Bone	11426-118G4	Osteoblast, donor3	Osteoblast	State_026	primary cell	22	week	embryonic	female
Bone	11291-117A4	Synoviocyte, donor1	Synoviocyte	State_027	primary cell	57	year	adult	female
Bone	11368-117I9	Synoviocyte, donor2	Synoviocyte	State_027	primary cell	57	year	adult	male
Bone	11440-118H9	Synoviocyte, donor3	Synoviocyte	State_027	primary cell	61	year	adult	male
Bone	11763-123H8	tenocyte, donor1	tenocyte	State_028	primary cell	unknown		unknown	unknown
Bone	11765-123I1	tenocyte, donor2	tenocyte	State_028	primary cell	unknown		unknown	unknown
Bone	11768-123I4	tenocyte, donor3	tenocyte	State_028	primary cell	unknown		unknown	unknown
Bone	10192-103E3	bone marrow, adult	bone marrow	State_029	tissue	27	year	adult	male
Bone	10295-104G7	cruciate ligament, donor2	cruciate ligament	State_030	tissue	unknown		unknown	male
Brain	11500-119F6	Astrocyte - cerebellum, donor1	Astrocyte - cerebellum	State_031	primary cell	unknown		unknown	unknown
Brain	11580-120F5	Astrocyte - cerebellum, donor2	Astrocyte - cerebellum	State_031	primary cell	unknown		unknown	unknown
Brain	11661-122F5	Astrocyte - cerebellum, donor3	Astrocyte - cerebellum	State_031	primary cell	unknown		unknown	unknown
Brain	11235-116D2	Astrocyte - cerebral cortex, donor1	Astrocyte - cerebral cortex	State_032	primary cell	unknown		embryonic	unknown
Brain	11316-117D2	Astrocyte - cerebral cortex, donor2	Astrocyte - cerebral cortex	State_032	primary cell	unknown		embryonic	unknown
Brain	11392-118C6	Astrocyte - cerebral cortex, donor3	Astrocyte - cerebral cortex	State_032	primary cell	unknown		embryonic	unknown
Brain	11493-119E8	Meningeal Cells, donor1	Meningeal Cells	State_033	primary cell	unknown		unknown	unknown
Brain	11573-120E7	Meningeal Cells, donor2	Meningeal Cells	State_033	primary cell	unknown		unknown	unknown
Brain	11654-122E7	Meningeal Cells, donor3	Meningeal Cells	State_033	primary cell	unknown		unknown	unknown
Brain	11275-116H6	Neural stem cells, donor1	Neural stem cells	State_034	primary cell	19	week	embryonic	unknown
Brain	11352-117H2	Neural stem cells, donor2	Neural stem cells	State_034	primary cell	18	week	embryonic	unknown
Brain	11494-119E9	Neurons, donor1	Neurons	State_035	primary cell	unknown		unknown	unknown
Brain	11574-120E8	Neurons, donor2	Neurons	State_035	primary cell	unknown		unknown	unknown
Brain	11655-122E8	Neurons, donor3	Neurons	State_035	primary cell	unknown		unknown	unknown
Brain	11496-119F2	Oligodendrocyte - precursors, donor1	Oligodendrocyte - precursors	State_036	primary cell	unknown		unknown	unknown
Brain	10167-103B5	amygdala - adult, donor10196	amygdala, adult	State_037	tissue	60	year	adult	female
Brain	10151-102I7	amygdala, adult, donor10252	amygdala, adult	State_037	tissue	76	year	adult	female
Brain	10360-105E9	amygdala, newborn, donor10223	amygdala, newborn	State_038	tissue	0	year	newborn	male
Brain	10084-102B3	brain, adult, donor1	brain, adult	State_039	tissue	18	year	adult	male
Brain	10012-101C3	brain, adult, pool1	brain, adult	State_039	tissue	77,79,81 	year	adult	mixed
Brain	10085-102B4	brain, fetal, pool1	brain, fetal	State_040	tissue	20-33	week	embryonic	mixed
Brain	10177-103C6	caudate nucleus - adult, donor10196	caudate nucleus, adult	State_041	tissue	60	year	adult	female
Brain	10164-103B2	caudate nucleus, adult, donor10252	caudate nucleus, adult	State_041	tissue	76	year	adult	female
Brain	10379-105H1	caudate nucleus, adult, donor10258	caudate nucleus, adult	State_041	tissue	89	year	adult	female
Brain	10354-105E3	caudate nucleus, newborn, donor10223	caudate nucleus, newborn	State_042	tissue	0	year	newborn	male
Brain	10173-103C2	cerebellum - adult, donor10196	cerebellum, adult	State_043	tissue	60	year	adult	female
Brain	10166-103B4	cerebellum, adult, donor10252	cerebellum, adult	State_043	tissue	76	year	adult	female
Brain	10083-102B2	cerebellum, adult, pool1	cerebellum, adult	State_043	tissue	22-68 	year	adult	mixed
Brain	10357-105E6	cerebellum, newborn, donor10223	cerebellum, newborn	State_044	tissue	0	year	newborn	male
Brain	10188-103D8	cerebral meninges, adult	cerebral meninges, adult	State_045	tissue	66	year	adult	male
Brain	10294-104G6	cerebrospinal fluid, donor2	cerebrospinal fluid	State_046	tissue	unknown		unknown	male
Brain	10042-101F6	corpus callosum, adult, pool1	corpus callosum, adult	State_047	tissue	24-68 	year	adult	mixed
Brain	10193-103E4	diencephalon, adult	diencephalon, adult	State_048	tissue	26	year	adult	male
Brain	10041-101F5	dura mater, adult, donor1	dura mater, adult	State_049	tissue	59	year	adult	female
Brain	10040-101F4	frontal lobe, adult, pool1	frontal lobe, adult	State_050	tissue	32-61 	year	adult	mixed
Brain	10175-103C4	globus pallidus - adult, donor10196	globus pallidus, adult	State_051	tissue	60	year	adult	female
Brain	10161-103A8	globus pallidus, adult, donor10252	globus pallidus, adult	State_051	tissue	76	year	adult	female
Brain	10367-105F7	globus pallidus, adult, donor10258	globus pallidus, adult	State_051	tissue	unknown		unknown	female
Brain	10364-105F4	globus pallidus, newborn, donor10223	globus pallidus, newborn	State_052	tissue	0	year	newborn	male
Brain	10169-103B7	hippocampus - adult, donor10196	hippocampus, adult	State_053	tissue	60	year	adult	female
Brain	10153-102I9	hippocampus, adult, donor10252	hippocampus, adult	State_053	tissue	76	year	adult	female
Brain	10374-105G5	hippocampus, adult, donor10258	hippocampus, adult	State_053	tissue	89	year	adult	female
Brain	10363-105F3	hippocampus, newborn, donor10223	hippocampus, newborn	State_054	tissue	0	year	newborn	male
Brain	10039-101F3	insula, adult, pool1	insula, adult	State_055	tissue	20-68 	year	adult	mixed
Brain	10182-103D2	locus coeruleus - adult, donor10196	locus coeruleus, adult	State_056	tissue	60	year	adult	female
Brain	10165-103B3	locus coeruleus, adult, donor10252	locus coeruleus, adult	State_056	tissue	76	year	adult	female
Brain	10375-105G6	locus coeruleus, adult, donor10258	locus coeruleus, adult	State_056	tissue	unknown		unknown	female
Brain	10362-105F2	locus coeruleus, newborn, donor10223	locus coeruleus, newborn	State_057	tissue	0	year	newborn	male
Brain	10170-103B8	medial frontal gyrus - adult, donor10196	medial frontal gyrus, adult	State_058	tissue	60	year	adult	female
Brain	10150-102I6	medial frontal gyrus, adult, donor10252	medial frontal gyrus, adult	State_058	tissue	76	year	adult	female
Brain	10368-105F8	medial frontal gyrus, adult, donor10258	medial frontal gyrus, adult	State_058	tissue	89	year	adult	female
Brain	10352-105E1	medial frontal gyrus, newborn, donor10223	medial frontal gyrus, newborn	State_059	tissue	0	year	newborn	male
Brain	10183-103D3	medial temporal gyrus - adult, donor10196	medial temporal gyrus, adult	State_060	tissue	60	year	adult	female
Brain	10156-103A3	medial temporal gyrus, adult, donor10252	medial temporal gyrus, adult	State_060	tissue	76	year	adult	female
Brain	10376-105G7	medial temporal gyrus, adult, donor10258	medial temporal gyrus, adult	State_060	tissue	89	year	adult	female
Brain	10353-105E2	medial temporal gyrus, newborn, donor10223	medial temporal gyrus, newborn	State_061	tissue	0	year	newborn	male
Brain	10174-103C3	medulla oblongata - adult, donor10196	medulla oblongata, adult	State_062	tissue	60	year	adult	female
Brain	10155-103A2	medulla oblongata, adult, donor10252	medulla oblongata, adult	State_062	tissue	76	year	adult	female
Brain	10038-101F2	medulla oblongata, adult, pool1	medulla oblongata, adult	State_062	tissue	18-64 	year	adult	mixed
Brain	10361-105F1	medulla oblongata, newborn, donor10223	medulla oblongata, newborn	State_063	tissue	0	year	newborn	male
Brain	10037-101F1	nucleus accumbens, adult, pool1	nucleus accumbens, adult	State_064	tissue	23-56 	year	adult	mixed
Brain	10172-103C1	occipital cortex - adult, donor10196	occipital cortex, adult	State_065	tissue	60	year	adult	female
Brain	10163-103B1	occipital cortex, adult, donor10252	occipital cortex, adult	State_065	tissue	76	year	adult	female
Brain	10355-105E4	occipital cortex, newborn, donor10223	occipital cortex, newborn	State_066	tissue	0	year	newborn	male
Brain	10076-102A4	occipital lobe, adult, donor1	occipital lobe, adult	State_067	tissue	27	year	adult	male
Brain	10073-102A1	occipital lobe, fetal, donor1	occipital lobe, fetal	State_068	tissue	22	week	embryonic	male
Brain	10036-101E9	occipital pole, adult, pool1	occipital pole, adult	State_069	tissue	22-68 	year	adult	mixed
Brain	10035-101E8	paracentral gyrus, adult, pool1	paracentral gyrus, adult	State_070	tissue	22-69 	year	adult	mixed
Brain	10373-105G4	parietal cortex, adult, donor10258	parietal cortex, adult	State_071	tissue	89	year	adult	female
Brain	10171-103B9	parietal lobe - adult, donor10196	parietal lobe, adult	State_072	tissue	60	year	adult	female
Brain	10157-103A4	parietal lobe, adult, donor10252	parietal lobe, adult	State_072	tissue	76	year	adult	female
Brain	10034-101E7	parietal lobe, adult, pool1	parietal lobe, adult	State_072	tissue	35-89 	year	adult	mixed
Brain	10072-101I9	parietal lobe, fetal, donor1	parietal lobe, fetal	State_073	tissue	20	week	embryonic	female
Brain	10356-105E5	parietal lobe, newborn, donor10223	parietal lobe, newborn	State_074	tissue	0	year	newborn	male
Brain	10179-103C8	pineal gland - adult, donor10196	pineal gland, adult	State_075	tissue	60	year	adult	female
Brain	10160-103A7	pineal gland, adult, donor10252	pineal gland, adult	State_075	tissue	76	year	adult	female
Brain	10377-105G8	pineal gland, adult, donor10258	pineal gland, adult	State_075	tissue	89	year	adult	female
Brain	10033-101E6	pons, adult, pool1	pons, adult	State_076	tissue	18-54 	year	adult	mixed
Brain	10032-101E5	postcentral gyrus, adult, pool1	postcentral gyrus, adult	State_077	tissue	44-52 	year	adult	mixed
Brain	10176-103C5	putamen, adult, donor10196	putamen, adult	State_078	tissue	60	year	adult	female
Brain	10152-102I8	putamen, adult, donor10252	putamen, adult	State_078	tissue	76	year	adult	female
Brain	10372-105G3	putamen, adult, donor10258	putamen, adult	State_078	tissue	89	year	adult	female
Brain	10365-105F5	putamen, newborn, donor10223	putamen, newborn	State_079	tissue	0	year	newborn	male
Brain	10178-103C7	substantia nigra - adult, donor10196	substantia nigra, adult	State_080	tissue	60	year	adult	female
Brain	10158-103A5	substantia nigra, adult, donor10252	substantia nigra, adult	State_080	tissue	76	year	adult	female
Brain	10371-105G2	substantia nigra, adult, donor10258	substantia nigra, adult	State_080	tissue	89	year	adult	female
Brain	10358-105E7	substantia nigra, newborn, donor10223	substantia nigra, newborn	State_081	tissue	0	year	newborn	male
Brain	10031-101E4	temporal lobe, adult, pool1	temporal lobe, adult	State_082	tissue	32-61 	year	adult	mixed
Brain	10063-101H9	temporal lobe, fetal, donor1	temporal lobe, fetal	State_083	tissue	22	week	embryonic	female
Brain	10168-103B6	thalamus - adult, donor10196	thalamus, adult	State_084	tissue	60	year	adult	female
Brain	10154-103A1	thalamus, adult, donor10252	thalamus, adult	State_084	tissue	76	year	adult	female
Brain	10370-105G1	thalamus, adult, donor10258	thalamus, adult	State_084	tissue	89	year	adult	female
Brain	10366-105F6	thalamus, newborn, donor10223	thalamus, newborn	State_085	tissue	0	year	newborn	male
Cancer	10717-109I6	acantholytic squamous carcinoma cell line:HCC1806	acantholytic squamous carcinoma cell line	State_086	cell line	60	year	adult	female
Cancer	10455-106G5	acute lymphoblastic leukemia (B-ALL) cell line:BALL-1	acute lymphoblastic leukemia (B-ALL) cell line	State_087	cell line	75	year	adult	male
Cancer	10534-107G3	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	acute lymphoblastic leukemia (B-ALL) cell line	State_087	cell line	19	year	adult	male
Cancer	10429-106D6	acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL	acute lymphoblastic leukemia (T-ALL) cell line	State_088	cell line	unknown		unknown	male
Cancer	10464-106H5	acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	acute lymphoblastic leukemia (T-ALL) cell line	State_088	cell line	14	year	child	male
Cancer	10827-111C8	acute myeloid leukemia (FAB M0) cell line:KG-1	acute myeloid leukemia (FAB M0) cell line	State_089	cell line	59	year	adult	male
Cancer	10828-111C9	acute myeloid leukemia (FAB M1) cell line:HYT-1	acute myeloid leukemia (FAB M1) cell line	State_090	cell line	62	year	adult	male
Cancer	10788-110H5	acute myeloid leukemia (FAB M2) cell line:Kasumi-1	acute myeloid leukemia (FAB M2) cell line	State_091	cell line	7	year	child	male
Cancer	10792-110H9	acute myeloid leukemia (FAB M2) cell line:Kasumi-6	acute myeloid leukemia (FAB M2) cell line	State_091	cell line	64	year	adult	male
Cancer	10765-110E9	acute myeloid leukemia (FAB M2) cell line:NKM-1	acute myeloid leukemia (FAB M2) cell line	State_091	cell line	33	year	adult	male
Cancer	10829-111D1	acute myeloid leukemia (FAB M3) cell line:HL60	acute myeloid leukemia (FAB M3) cell line	State_092	cell line	unknown		unknown	female
Cancer	10830-111D2	acute myeloid leukemia (FAB M4) cell line:FKH-1	acute myeloid leukemia (FAB M4) cell line	State_093	cell line	60	year	adult	male
Cancer	10831-111D3	acute myeloid leukemia (FAB M4) cell line:HNT-34	acute myeloid leukemia (FAB M4) cell line	State_093	cell line	45	year	adult	female
Cancer	10832-111D4	acute myeloid leukemia (FAB M4eo) cell line:EoL-1	acute myeloid leukemia (FAB M4eo) cell line	State_094	cell line	33	year	adult	male
Cancer	10833-111D5	acute myeloid leukemia (FAB M4eo) cell line:EoL-3	acute myeloid leukemia (FAB M4eo) cell line	State_094	cell line	unknown		unknown	male
Cancer	10764-110E8	acute myeloid leukemia (FAB M5) cell line:NOMO-1	acute myeloid leukemia (FAB M5) cell line	State_095	cell line	unknown		unknown	female
Cancer	10770-110F5	acute myeloid leukemia (FAB M5) cell line:P31/FUJ	acute myeloid leukemia (FAB M5) cell line	State_095	cell line	7	year	child	male
Cancer	10399-106A3	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	acute myeloid leukemia (FAB M5) cell line	State_095	cell line	1	year	child	male
Cancer	10400-106A4	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)	acute myeloid leukemia (FAB M5) cell line	State_095	cell line	1	year	child	male
Cancer	10405-106A9	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)	acute myeloid leukemia (FAB M5) cell line	State_095	cell line	1	year	child	male
Cancer	10834-111D6	acute myeloid leukemia (FAB M5) cell line:U-937 DE-4	acute myeloid leukemia (FAB M5) cell line	State_095	cell line	37	year	adult	male
Cancer	10835-111D7	acute myeloid leukemia (FAB M6) cell line:EEB	acute myeloid leukemia (FAB M6) cell line	State_096	cell line	49	year	adult	male
Cancer	10836-111D8	acute myeloid leukemia (FAB M6) cell line:F-36E	acute myeloid leukemia (FAB M6) cell line	State_096	cell line	unknown		unknown	male
Cancer	10837-111D9	acute myeloid leukemia (FAB M6) cell line:F-36P	acute myeloid leukemia (FAB M6) cell line	State_096	cell line	65	year	adult	male
Cancer	10699-109G6	acute myeloid leukemia (FAB M7) cell line:M-MOK	acute myeloid leukemia (FAB M7) cell line	State_097	cell line	1	year	child	female
Cancer	10802-111A1	acute myeloid leukemia (FAB M7) cell line:MKPL-1	acute myeloid leukemia (FAB M7) cell line	State_097	cell line	66	year	adult	male
Cancer	10796-110I4	adenocarcinoma cell line:IM95m	adenocarcinoma cell line	State_098	cell line	63	year	adult	male
Cancer	10810-111A9	adrenal cortex adenocarcinoma cell line:SW-13	adrenal cortex adenocarcinoma cell line	State_099	cell line	unknown		unknown	female
Cancer	10421-106C7	adult T-cell leukemia cell line:ATN-1	adult T-cell leukemia cell line	State_100	cell line	47	year	adult	male
Cancer	10708-109H6	alveolar cell carcinoma cell line:SW 1573	alveolar cell carcinoma cell line	State_101	cell line	44	year	adult	female
Cancer	10428-106D5	anaplastic carcinoma cell line:8305C	anaplastic carcinoma cell line	State_102	cell line	67	year	adult	female
Cancer	10795-110I3	anaplastic large cell lymphoma cell line:Ki-JK	anaplastic large cell lymphoma cell line	State_103	cell line	15	year	child	male
Cancer	10805-111A4	anaplastic squamous cell carcinoma cell line:RPMI 2650	anaplastic squamous cell carcinoma cell line	State_104	cell line	unknown		unknown	male
Cancer	10589-108D4	argyrophil small cell carcinoma cell line:TC-YIK	argyrophil small cell carcinoma cell line	State_105	cell line	31	year	adult	female
Cancer	10425-106D2	astrocytoma cell line:TM-31	astrocytoma cell line	State_106	cell line	42	year	adult	female
Cancer	10702-109G9	basal cell carcinoma cell line:TE 354.T	basal cell carcinoma cell line	State_107	cell line	unknown		unknown	female
